231,345,2337,1208,1620
278,326,2337,1208,1930
310,350,2647,1208,1930
324,361,2757,1208,1930
261,372,2647,1208,1620
272,384,2757,1208,1620
311,417,3067,1208,1620
363,391,3067,1208,1930
319,433,3117,1158,1620
370,405,3117,1158,1930
387,396,3117,1158,2040
429,371,3117,1158,2350
320,482,3117,818,1620
366,454,3117,818,1930
382,444,3117,818,2040
372,377,3067,1258,1990
332,291,2757,1598,1990
376,317,3067,1598,1990
388,378,3117,1258,2040
393,318,3117,1598,2040
439,297,3117,1598,2350
431,355,3117,1258,2350
341,277,2757,1648,2040
386,302,3067,1648,2040
432,283,3067,1648,2350
