350,466,1958,814,1816
356,418,1958,1154,1816
394,395,2268,1154,1816
298,437,1908,814,2176
300,390,1908,1154,2176
341,417,1908,1154,1866
336,465,1908,814,1866
308,378,1958,1204,2176
346,359,2268,1204,2176
388,383,2268,1204,1866
350,404,1958,1204,1866
247,390,1961,804,2723
246,345,1961,1144,2723
285,330,2271,1144,2723
283,374,2271,804,2723
246,330,1961,1244,2723
245,279,1961,1584,2723
287,266,2271,1584,2723
285,315,2271,1244,2723
178,468,1386,440,2707
154,443,1386,440,3017
190,425,1696,440,3017
216,448,1696,440,2707
