332,420,2314,818,8820
371,396,2314,818,8510
384,388,2314,818,8400
417,366,2314,818,8090
329,373,2314,1158,8820
372,348,2314,1158,8510
385,341,2314,1158,8400
419,321,2314,1158,8090
421,305,2314,1258,8090
422,253,2314,1598,8090
385,325,2314,1258,8400
386,269,2314,1598,8400
323,359,2364,1208,8820
287,337,2674,1208,8820
274,330,2784,1208,8820
364,337,2364,1208,8510
245,311,3094,1208,8820
326,318,2674,1208,8510
371,325,2364,1258,8450
372,270,2364,1598,8450
331,253,2674,1598,8450
334,306,2674,1258,8450
378,257,2364,1648,8400
