384,388,2364,1158,8870
346,414,2674,1158,8870
332,423,2784,1158,8870
286,454,3094,1158,8870
288,505,3094,818,8870
330,474,2784,818,8870
345,463,2674,818,8870
379,437,2364,818,8870
377,376,2364,1208,8820
339,401,2674,1208,8820
324,410,2784,1208,8820
278,440,3094,1208,8820
332,356,2364,1208,8510
295,377,2674,1208,8510
278,386,2784,1208,8510
233,411,3094,1208,8510
268,455,3144,1158,8820
226,425,3144,1158,8510
325,344,2364,1258,8460
325,289,2364,1598,8460
287,365,2674,1258,8460
284,309,2674,1598,8460
269,308,2724,1598,8410
230,292,2725,1598,8100
